# uniform1 uniform2 gaussian1 gaussian2
  1  0.324090 0.766142 0.294426 -0.302704
  2  0.584267 0.148515 -0.949405 -0.190738
  3  0.832759 0.006086 1.114279 0.161720
  4  0.510750 0.238770 0.774619 -0.185697
  5  0.615449 0.409627 1.391972 0.006024
  6  0.967880 0.178930 1.527991 0.345419
  7  0.690013 0.211275 -0.414720 1.027315
  8  0.604555 0.515242 0.748720 -0.941451
  9  0.281942 0.846063 -0.461728 0.301489
  10  0.396171 0.669106 0.966239 -1.447680
  11  0.075930 0.306560 0.306772 0.534232
  12  0.376617 0.565068 0.426480 -0.096244
  13  0.306098 0.124138 -0.648787 1.168357
  14  0.078242 0.092864 1.039074 0.943469
  15  0.652564 0.576147 -0.744497 -0.173278
  16  0.081128 0.917873 0.576554 0.953489
  17  0.750084 0.217086 -0.470774 0.080240
  18  0.923473 0.025216 1.677282 -1.050945
  19  0.759706 0.647461 1.104064 -0.627758
  20  0.171836 0.611732 -0.153387 -0.513807
  21  0.009232 0.143554 -1.950270 -0.892573
  22  0.260893 0.772179 0.998109 0.534048
  23  0.044245 0.620214 -0.571071 0.086152
  24  0.730135 0.789537 -0.848768 0.068507
  25  0.424937 0.710962 0.594446 0.666104
  26  0.951116 0.022501 -1.375965 -0.833593
  27  0.452742 0.616731 0.413546 -1.126851
  28  0.477812 0.067319 -0.335580 0.013823
  29  0.571747 0.230044 -0.406049 0.709439
  30  0.890552 0.981653 0.625442 -0.148981
  31  0.168418 0.482676 0.363811 -0.006905
  32  0.418576 0.483488 0.229154 0.320800
  33  0.224292 0.992957 0.695895 -0.676727
  34  0.161950 0.683875 -0.325855 -0.555717
  35  0.321503 0.899488 -1.142950 0.626220
  36  0.276065 0.791878 -0.795798 0.520391
  37  0.981881 0.419840 0.113993 0.093550
  38  0.596505 0.035634 0.370489 -1.193138
  39  0.916541 0.963810 1.535297 -0.814870
  40  0.201121 0.437718 0.609686 -0.185536
  41  0.053681 0.680884 1.022400 1.013024
  42  0.591883 0.716412 0.505366 1.589280
  43  0.333612 0.721248 0.257170 0.724311
  44  0.004894 0.422043 1.264801 -1.129847
  45  0.513019 0.646127 -1.619968 -1.919333
  46  0.714478 0.338543 -0.978428 0.030875
  47  0.320822 0.020435 2.005689 1.479147
  48  0.854482 0.844564 0.417103 0.126406
  49  0.249871 0.581688 0.036605 -1.140200
  50  0.161662 0.483943 -1.654616 -0.072831
  51  0.746172 0.506499 0.935460 -0.231855
  52  0.315724 0.441876 -1.426936 -0.418821
  53  0.698682 0.868593 0.149255 -0.035225
  54  0.166636 0.581141 0.089054 1.503696
  55  0.029211 0.420445 -1.361385 0.478783
  56  0.508132 0.857493 -1.406192 -0.805032
  57  0.387022 0.815659 1.459981 1.267865
  58  0.672652 0.710931 -0.701793 -0.246078
  59  0.243491 0.922216 -1.799672 -0.209224
  60  0.988506 0.910351 -0.837278 1.245557
  61  0.568037 0.501012 0.561538 0.269968
  62  0.598842 0.713630 0.843660 0.715123
  63  0.916780 0.888357 0.384131 -1.410387
  64  0.783304 0.893468 -1.363778 -0.014997
  65  0.797055 0.215487 1.449013 0.039568
  66  0.495636 0.049886 -2.054819 0.368261
  67  0.065344 0.693924 -0.173368 -0.857488
  68  0.197057 0.138330 -1.011636 -0.144803
  69  0.043353 0.846863 1.047071 -1.676889
  70  0.758134 0.148277 0.816856 0.414252
  71  0.502808 0.701313 0.158591 1.724588
  72  0.775485 0.576628 0.127398 -0.840389
  73  0.601779 0.681423 -1.624324 0.389012
  74  0.583426 0.530612 0.607652 0.048570
  75  0.544299 0.661792 0.107364 -1.178859
  76  0.340836 0.731026 0.501849 0.310941
  77  0.114463 0.231252 -0.558318 0.217834
  78  0.756668 0.125110 0.428466 0.972391
  79  0.679111 0.792110 -1.250216 2.058488
  80  0.366790 0.690980 0.680366 0.518498
  81  0.702916 0.435055 0.180126 -0.816641
  82  0.342367 0.117832 0.280321 -1.691336
  83  0.187971 0.953015 -1.052223 1.250498
  84  0.204866 0.055951 -0.763923 -0.104147
  85  0.838501 0.730407 0.779663 -0.834307
  86  0.535224 0.613301 -0.608437 0.612589
  87  0.274449 0.035321 0.329538 -2.817223
  88  0.761684 0.022463 0.583330 0.344195
  89  0.738762 0.520465 -1.799143 0.504019
  90  0.388800 0.441707 0.347520 -0.166404
  91  0.298418 0.883746 0.551402 -1.444738
  92  0.120678 0.967942 0.345108 1.813710
  93  0.982926 0.091017 -0.192237 -0.363828
  94  0.805689 0.815724 1.577771 -0.282450
  95  0.254934 0.167161 2.695619 0.502065
  96  0.578959 0.333998 -0.393679 -1.404340
  97  0.390588 0.177159 -1.117135 1.310283
  98  0.271556 0.746295 0.691539 1.173984
  99  0.376702 0.236519 -0.984353 0.757275
