# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.0100013   20138   19665     -2.94      1137    1292
    2    0.0300007   19902   19940     -2.82       929    1031
    3    0.0500008   19848   20150      -2.7      1244    1319
    4    0.0700006   20246   19908     -2.58      1725    1753
    5    0.0900002   19768   19860     -2.46      2292    2436
    6     0.11   20083   20156     -2.34      3181    3102
    7     0.13   19967   19866     -2.22      4171    4235
    8     0.15   20050   19930      -2.1      5285    5151
    9     0.17   19954   19930     -1.98      6701    6750
   10     0.19   20086   19963     -1.86      8497    8487
   11     0.21   19741   19709     -1.74     10676   10595
   12     0.23   20081   20132     -1.62     12753   12901
   13     0.25   20153   20065      -1.5     15314   15499
   14     0.27   20127   20081     -1.38     18447   18427
   15     0.29   20130   20301     -1.26     21675   21630
   16     0.31   20042   19860     -1.14     25160   24852
   17     0.33   20026   19996     -1.02     28608   28588
   18     0.35   20017   19954      -0.9     31936   32108
   19     0.37   20148   19999     -0.78     35706   35513
   20     0.39   19696   20142     -0.66     38525   38771
   21     0.41   20249   20190     -0.54     41649   40888
   22     0.43   19842   20043     -0.42     43684   43984
   23     0.45   19982   20190      -0.3     45962   45614
   24     0.47   19972   19937     -0.18     47165   46698
   25     0.49   19966   20076     -0.06     47950   47615
   26     0.51   19904   20049      0.06     47433   47907
   27     0.53   19952   19922      0.18     46988   47471
   28     0.55   19903   20042       0.3     45825   45997
   29     0.57   19981   19969      0.42     43436   43706
   30     0.59   20161   20088      0.54     41199   41476
   31     0.61   19968   19869      0.66     38353   38591
   32     0.63   20120   20098      0.78     35414   34994
   33     0.65   20190   20068       0.9     31632   31890
   34     0.67   19733   19956      1.02     28436   28290
   35     0.69   20143   19946      1.14     24950   24938
   36     0.71   20168   20077      1.26     21694   21688
   37     0.73   20049   19863      1.38     18671   18605
   38     0.75   19875   19884       1.5     15640   15428
   39     0.77   20000   19814      1.62     12772   12991
   40     0.79   20147   20044      1.74     10461   10465
   41     0.81   19788   19962      1.86      8331    8576
   42     0.83   19916   20132      1.98      6899    6824
   43     0.85   19926   20157       2.1      5234    5140
   44     0.87   19849   20028      2.22      4097    4018
   45     0.89   19968   20186      2.34      3029    3088
   46     0.91   20171   20009      2.46      2350    2337
   47     0.93   20133   19754      2.58      1768    1729
   48     0.95   19782   20154       2.7      1289    1285
   49     0.97   20112   19941      2.82      1013     965
   50     0.99   19847   20350      2.94       791     645
